token,Headword,orth,gram,SenseNumber,sentence,author_surname,date,title,slug_obra,page_num
folhas,folha,folha,plural,1,"Verrugas (verrucae), saõ glandulas grossas e hum tanto chatas ou
							concavas, com as que se vem nos peciolos das [[b]]folhas[[/b]] do noveleiro, e ricinus 
								Taõbem se da o nome verrugas a certos tuberculos ou receptaculos de algumas especies de
									lichen.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,252
tuberculos,tubérculo,tubérculos,plural,2,"Taõbem se da o nome verrugas a certos [[b]]tuberculos[[/b]] ou receptaculos de algumas especies de
									lichen.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,252
folhas,folha,folha,plural,1,"Este termo he taõbem usado para significar
							certas fossulas minimas dos receptaculos, como dos de dente de leaõ, e
							certos salpicos corados das [[b]]folhas[[/b]], como nalgumas especies de mesembryanthemum.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,252
succulentas,suculento,suculentas,feminino plural,1,"Taõbem se da o nome de vesiculas as pequenas cellulas 
										[[b]]succulentas[[/b]], de que consta qualquer bago de laranja
									ou limaõ, e ás fructificaçoẽs gelatinosas do fucus.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
tuberculos,tubérculo,tubérculos,plural,2,"Mamillos ou [[b]]tuberculos[[/b]] (mamilli, s. tubercula), saõ
							pontos carnudos, pontudos, e ordinariamente mais largos na base, como os
							do cactus mamillaris, e algumas euphorbias 
								Os  tuberculos em algumas especies de
									lichen saõ pontos escabrosos e pulverulentos, que constituem o
									receptaculo da sua fructificaçaõ.
								Nas folhas da pulmonaria
									e outras asperifolias os pontas asperos, que as salpicaõ saõ
									taõbem chamados  tuberculos.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
tuberculos,tubérculo,tubérculos,plural,2,"Os  [[b]]tuberculos[[/b]] em algumas especies de
									lichen saõ pontos escabrosos e pulverulentos, que constituem o
									receptaculo da sua fructificaçaõ.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
folhas,folha,folha,plural,1,"Nas [[b]]folhas[[/b]] da pulmonaria
									e outras asperifolias os pontas asperos, que as salpicaõ saõ
									taõbem chamados  tuberculos.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
tuberculos,tubérculo,tubérculos,plural,2,"Nas folhas da pulmonaria
									e outras asperifolias os pontas asperos, que as salpicaõ saõ
									taõbem chamados  [[b]]tuberculos[[/b]].",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
Utriculos,utrículo,Utrículos,plural,2,"[[b]]Utriculos[[/b]] (utriculi) 
								Os utriculos considerados em geral podem ser divididos
									em internos e externos; os internos dependem da dissecçaõ, e
									microscopio para se poderem observar, elles saõ destinados à
									preparaçaõ dos succos proprios, e digestaõ dos succos
									nutritivos; os externos saõ os que se achaõ na superficie dos
									vegetaes, huns saõ pouco apparentes, dos quaes ja fiz mençaõ
									debaixo do nome glandulas utriculares, outros saõ assaz
									apparentes de modo que ainda mesmo sem lente se podem observar,
									e saõ os de que tracto presentemente.
							, saõ huma especie de excrescencia vesicular, que contem o liquor
							de alguma secreçaõ.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
utriculos,utrículo,utrículos,plural,1,"Os [[b]]utriculos[[/b]] considerados em geral podem ser divididos
									em internos e externos; os internos dependem da dissecçaõ, e
									microscopio para se poderem observar, elles saõ destinados à
									preparaçaõ dos succos proprios, e digestaõ dos succos
									nutritivos; os externos saõ os que se achaõ na superficie dos
									vegetaes, huns saõ pouco apparentes, dos quaes ja fiz mençaõ
									debaixo do nome glandulas utriculares, outros saõ assaz
									apparentes de modo que ainda mesmo sem lente se podem observar,
									e saõ os de que tracto presentemente.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
folhas,folha,folha,plural,1,"A sua figura varia segundo as differentes plantas; a nepentes
							distillatoria tem na ponta das suas [[b]]folhas[[/b]]
							utriculos oblongos, cylindricos, e guarnecidos de hum
							operculo; as  folhas da
							sarracenia  purpurea tem utriculos tubulosos, e os que se achaõ no
							centro da umbrella da margravia umbellata saõ longos, desunidos,
							direitos, e terminados como a petala concava do acónito.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
utriculos,utrículo,utrículos,plural,2,"A sua figura varia segundo as differentes plantas; a nepentes
							distillatoria tem na ponta das suas folhas
							[[b]]utriculos[[/b]] oblongos, cylindricos, e guarnecidos de hum
							operculo; as  folhas da
							sarracenia  purpurea tem utriculos tubulosos, e os que se achaõ no
							centro da umbrella da margravia umbellata saõ longos, desunidos,
							direitos, e terminados como a petala concava do acónito.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
folhas,folha,folha,plural,1,"A sua figura varia segundo as differentes plantas; a nepentes
							distillatoria tem na ponta das suas [[b]]folhas[[/b]]
							utriculos oblongos, cylindricos, e guarnecidos de hum
							operculo; as  folhas da
							sarracenia  purpurea tem utriculos tubulosos, e os que se achaõ no
							centro da umbrella da margravia umbellata saõ longos, desunidos,
							direitos, e terminados como a petala concava do acónito.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,253
utriculos,utrículo,utrículos,plural,2,"A sua figura varia segundo as differentes plantas; a nepentes
							distillatoria tem na ponta das suas folhas
							[[b]]utriculos[[/b]] oblongos, cylindricos, e guarnecidos de hum
							operculo; as  folhas da
							sarracenia  purpurea tem utriculos tubulosos, e os que se achaõ no
							centro da umbrella da margravia umbellata saõ longos, desunidos,
							direitos, e terminados como a petala concava do acónito.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,254
folhas,folha,folha,plural,1,"Folliculos (folliculi) saõ excrescencias vesiculares que contem huma
							substancia aeriforme, elles saõ urceolares e semicirculares nas [[b]]folhas[[/b]] da aldrovanda vesiculosa,
							hum tanto globosos e guarnecidos de duas pontas nas raizes de
							differentes especies de utricularia.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,254
antheras,antera,anteras,plural,1,"Poros (pori) este termo tem entre os Botanicos huma extensa significaçaõ,
							elles entendem por poros em geral certos meatos de differente largura e
							profundidade, que tem os seus orificios na superficie dos vegetaes;
							nelles comprehendem 1º. os poros finissimos, chamados taõbem vasos
							absorbentes, inhalantes, exhalantes, e tracheas; 2º. os poros largos da
							casca, como os que se vem na casca da cortiça, e nas cascas, da noz da
							amendoa, e outras semelhantes, que parecem antes merecer o nome de
							lacunas, fendas, buracos ou carcômas da casca, do que ser chamados
							pòros; 3º os poros fungosos, que saõ certos pequenos tubos ou alveolos
							que se vem bem destinctamente nos umbraculos dos boletos, e saõ
							considerados como organos relativos à fructificaçaõ destas plantas, 4º.
							os poros antherinos e estigmaticos, que se achaõ nas [[b]]antheras[[/b]] e estimas
							das flores, como se vê nas antheras do tomateiro, e outras especies de
							solanum, e no estigma do amor perfeito; 5º os poros capsulares que saõ
							certos furos que se vem nas capsulas da campanula; 6º emfim, os poros
							excretorios ou glandulares, que saõ os que Linneo comprehende no  artigo da glandulaçaõ, e os que por conseguinte pertencem a este
							capitulo; estes poros saõ certas pequenas cavidades superficiaes, que se
							observaõ nas  folhas da urena
							lobata, e hibiscus tiliaceus, e na base dos peciolos do polygonum
							scandens).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,254
antheras,antera,anteras,plural,1,"Poros (pori) este termo tem entre os Botanicos huma extensa significaçaõ,
							elles entendem por poros em geral certos meatos de differente largura e
							profundidade, que tem os seus orificios na superficie dos vegetaes;
							nelles comprehendem 1º. os poros finissimos, chamados taõbem vasos
							absorbentes, inhalantes, exhalantes, e tracheas; 2º. os poros largos da
							casca, como os que se vem na casca da cortiça, e nas cascas, da noz da
							amendoa, e outras semelhantes, que parecem antes merecer o nome de
							lacunas, fendas, buracos ou carcômas da casca, do que ser chamados
							pòros; 3º os poros fungosos, que saõ certos pequenos tubos ou alveolos
							que se vem bem destinctamente nos umbraculos dos boletos, e saõ
							considerados como organos relativos à fructificaçaõ destas plantas, 4º.
							os poros antherinos e estigmaticos, que se achaõ nas [[b]]antheras[[/b]] e estimas
							das flores, como se vê nas antheras do tomateiro, e outras especies de
							solanum, e no estigma do amor perfeito; 5º os poros capsulares que saõ
							certos furos que se vem nas capsulas da campanula; 6º emfim, os poros
							excretorios ou glandulares, que saõ os que Linneo comprehende no  artigo da glandulaçaõ, e os que por conseguinte pertencem a este
							capitulo; estes poros saõ certas pequenas cavidades superficiaes, que se
							observaõ nas  folhas da urena
							lobata, e hibiscus tiliaceus, e na base dos peciolos do polygonum
							scandens).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,254
folhas,folha,folha,plural,1,"Poros (pori) este termo tem entre os Botanicos huma extensa significaçaõ,
							elles entendem por poros em geral certos meatos de differente largura e
							profundidade, que tem os seus orificios na superficie dos vegetaes;
							nelles comprehendem 1º. os poros finissimos, chamados taõbem vasos
							absorbentes, inhalantes, exhalantes, e tracheas; 2º. os poros largos da
							casca, como os que se vem na casca da cortiça, e nas cascas, da noz da
							amendoa, e outras semelhantes, que parecem antes merecer o nome de
							lacunas, fendas, buracos ou carcômas da casca, do que ser chamados
							pòros; 3º os poros fungosos, que saõ certos pequenos tubos ou alveolos
							que se vem bem destinctamente nos umbraculos dos boletos, e saõ
							considerados como organos relativos à fructificaçaõ destas plantas, 4º.
							os poros antherinos e estigmaticos, que se achaõ nas antheras e estimas
							das flores, como se vê nas antheras do tomateiro, e outras especies de
							solanum, e no estigma do amor perfeito; 5º os poros capsulares que saõ
							certos furos que se vem nas capsulas da campanula; 6º emfim, os poros
							excretorios ou glandulares, que saõ os que Linneo comprehende no  artigo da glandulaçaõ, e os que por conseguinte pertencem a este
							capitulo; estes poros saõ certas pequenas cavidades superficiaes, que se
							observaõ nas  [[b]]folhas[[/b]] da urena
							lobata, e hibiscus tiliaceus, e na base dos peciolos do polygonum
							scandens).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,255
tuberculos,tubérculo,tubérculos,plural,2,"Cicatrizes ou pustulasTaõbem se da o nome de pustulas a huma
									especie de enfermidade dos fructos feridos pelo granizo, como
									saõ as que se vem nas pera a que o vulgo chama peras
									pedradas. (cicatrices, s. pustulae), saõ especies de
							verrugas ou [[b]]tuberculos[[/b]] alastrados, taes como os que se
							vem nos ramos do hypericum balearicum, e laurus indica.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,255
folhas,folha,folha,plural,1,"Algumas glandulas e vasos superficiaes costumaõ naturalmente lançar de si
							hum humor viscoso ou glutinoso (viscositas, s. glutinositas); este humor
							he observado naõ so na casca do tronco e ramos, mas taõbem nas [[b]]folhas[[/b]], flores, e gomos, que em
							razaõ de serem lubrificados ou barrados por huma semelhante substancia
							saõ chamados viscosos.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,255
fecundante,fecundante,fecundante,,1,"Este effeito tem lugar nos vegetaes em razaõ de cahir o po
								[[b]]fecundante[[/b]] das flores de huma especie sobre o pistillo
							das flores de outra; as sementes que provêm desta fecundaçaõ saõ as que
							produzem as plantas hybridas Segundo a opiniaõ de alguns Botanicos
								todas as especies de plantas que ha hoje na face do globo terreatre
								saõ as mesmas que haviaõ nos dias primitivos da terra; elles so
								admittem novas variedades e jamais novas especies; outros pelo
								contrario saõ de parecer que ha muitas novas especies procedidas do
								coito entre individuas especificamente differentes. Esta ultima
								opiniaõ naõ me parece ser bem fundada, e as plantas hybridas provaõ
								contra ella. As differentes plantas que procedem de differentes
								individos ou saõ mestiças, ou mulinas, As mestiças saõ as que provem
								de duas especies ou variedades, e daõ sementes fecundas; se cortamos
								v. g. os estames a huma tulipa vermelha, e apolvilhamos o seu
								pistillo com o po dos estames de huma tulipa brança, as sementes da
								dicta tulipa vermelha produziraõ tulipas humas vermelhas, outra
								brancas, outras variegadas de vermelho e branco, as suas sementes
								seraõ fecundas, e semelhantes plantas por conseguinte devem ser
								chamadas mestiças. As plantas mulinas rigorosamente taes saõ as que
								procedem de duas especies analogas, ou do mesmo genero, e daõ
								sementes sempre estereis ou incapazes de reproduzir individuo algum.
								Tanto as mestiças como as mulinas naõ saõ outra coiza mais do que
								variedades, a pezar de que algumas tenhaõ sido consideradas como
								verdadeiras especies; as mulinas tem quasi todo o habito externo
								d'alguma das plantas de que descendem, ou naõ differem da especie
								senaõ no viço e infecundidade da flor. Vej. O termo Hybridae
								plantae, no Dicc. Bot. vol. 2., as quaes ainda que floreçaõ
							naõ daõ sementes fecundas, e so se podem conservar por meyo de suas
							raizes ou ramos, como he v. g. a peloria, saponaria hybrida,
						&c.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,258
raiz,raiz,raiz,,1,"O viço tem lugar ás vezes no tronco,quando as plantas vem a ser cespitosas
							(cespitosae) lançando da mesma [[b]]raiz[[/b]] em hum terreno pingue
							muitos troncos, aindaque aliás no terreno que lhes he natural somente
							lançaõ hum 
								Basta muitas vezes cortar o tronco pela base para fazer huma
									planta cespitosa.
							; ou se ellas vem a seu fittaceas (fasciatae), isto he, se os
							seus caules se coadunaõ, ou nascem adunados de modo que formaõ hum so,
							comprido, largo, e chato como huma fitta, este phenomeno tem lugar
							algumas vezes no rainunculo, acelga, espargo, chicoria, celosia,
							escorcioneira, tragopogon, &c. e pode ser occasionado
							artificialmente.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,259
arvores,árvore,árvores,plural,1,"O viço faz  taõbem que algumas 
								[[b]]arvores[[/b]] lançaõ hum grande numero de raminhos tecidos huns com
							os outros à maneira de hum minho de pega, ou confundidos e embarçados
							entre si, como se achaõ os cabellos na doença chamada plica Polonica, e
							he por este motivo que semelhantes plantas saõ chamadas implicadas
							(plicatae); o carpinus, betula, e espinheiros saõ sujeitos a este viço
							nos paizes do norte.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,260
folhas,folha,folha,plural,1,"As [[b]]folhas[[/b]] naõ deixaõ de
							ser sujeitas a viçar, e se observa que as estreitas passaõ a ser largas;
							que hum terreno humido faz fender ás vezes as folhas inferiores, e o terreno secco as
							superiores; que as folhas
							oppostas passaõ a ser  verticilladas tres a tres e quatro a
							quatro, como se observa no murrião e lysimachia, que os trevos as vezes
							tem quatro foliolos, em lugar de tres, e a potentilla sette ou nove em
							lugar de cinco em cada folha; em fim, he assaz commum de as
							ver tornar crespas e bolhosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,260
folhas,folha,folha,plural,1,"As [[b]]folhas[[/b]] naõ deixaõ de
							ser sujeitas a viçar, e se observa que as estreitas passaõ a ser largas;
							que hum terreno humido faz fender ás vezes as folhas inferiores, e o terreno secco as
							superiores; que as folhas
							oppostas passaõ a ser  verticilladas tres a tres e quatro a
							quatro, como se observa no murrião e lysimachia, que os trevos as vezes
							tem quatro foliolos, em lugar de tres, e a potentilla sette ou nove em
							lugar de cinco em cada folha; em fim, he assaz commum de as
							ver tornar crespas e bolhosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,260
folhas,folha,folha,plural,1,"As [[b]]folhas[[/b]] naõ deixaõ de
							ser sujeitas a viçar, e se observa que as estreitas passaõ a ser largas;
							que hum terreno humido faz fender ás vezes as folhas inferiores, e o terreno secco as
							superiores; que as folhas
							oppostas passaõ a ser  verticilladas tres a tres e quatro a
							quatro, como se observa no murrião e lysimachia, que os trevos as vezes
							tem quatro foliolos, em lugar de tres, e a potentilla sette ou nove em
							lugar de cinco em cada folha; em fim, he assaz commum de as
							ver tornar crespas e bolhosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,260
verticilladas,verticilado,verticiladas,feminino plural,1,"As folhas naõ deixaõ de
							ser sujeitas a viçar, e se observa que as estreitas passaõ a ser largas;
							que hum terreno humido faz fender ás vezes as folhas inferiores, e o terreno secco as
							superiores; que as folhas
							oppostas passaõ a ser  [[b]]verticilladas[[/b]] tres a tres e quatro a
							quatro, como se observa no murrião e lysimachia, que os trevos as vezes
							tem quatro foliolos, em lugar de tres, e a potentilla sette ou nove em
							lugar de cinco em cada folha; em fim, he assaz commum de as
							ver tornar crespas e bolhosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,260
folha,folha,folha,,1,"As [[b]]folha[[/b]]s naõ deixaõ de
							ser sujeitas a viçar, e se observa que as estreitas passaõ a ser largas;
							que hum terreno humido faz fender ás vezes as folhas inferiores, e o terreno secco as
							superiores; que as folhas
							oppostas passaõ a ser  verticilladas tres a tres e quatro a
							quatro, como se observa no murrião e lysimachia, que os trevos as vezes
							tem quatro foliolos, em lugar de tres, e a potentilla sette ou nove em
							lugar de cinco em cada folha; em fim, he assaz commum de as
							ver tornar crespas e bolhosas.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,260
folhas,folha,folha,plural,1,"O terrenos differentes fazem muitas vezes que as [[b]]folhas[[/b]] largas venhaõ a ser estreitas, que sejaõ
							glabras em huns e hispidas ou peludas em outros, e que os troncos tenhaõ
							differentes direcçoẽs.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,261
folhas,folha,folha,plural,1,"A idade faz algumas
							vezes perder os aculeos e hispidez aos troncos, e as vezes mesmo lhes
							faz tomar huma forma arborea e mudar a figura de suas [[b]]folhas[[/b]], como se vê na
						hera.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,261
folhas,folha,folha,plural,1,"Ferrugem (rubigo), he hum po da cor da ferrugem do ferro, que salpica as
								 [[b]]folhas[[/b]] ordinariamente na
							sua  face inferior: he frequente nas gramas, na alchimilla, rabus
							saxatilis, e nalgumas especies de euphorbia, e de senecio.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,262
folhas,folha,folha,plural,1,"Bolor (erysiphe), esta especie de doença consiste em hum bolor branco,
							composto de cabecinhas fuscas e rentes que salpicaõ as [[b]]folhas[[/b]], e se vê no luparo, e
							nalgumas especies de lamium, lithospermum, galeopsis e acer.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,263
folhas,folha,folha,plural,1,"Picadas, e ninhos dos insectos (morsus, nidique insectorum); esta casta de
							animaes naõ so mordem, e retraçaõ as plantas para com ellas se nutrirem,
							mas ainda para nellas deporem seus ovos, hum dos factos notaveis, a que
							os dirige o seu instincto: deste effeito resultaõ muitas excrescencias e
							desordens na estructura ordinaria das partes dos vegetaes que elles
							atacaõ, como saõ por ex. as galhas, ou bugalhos (gallae), que se
							observaõ nos carvalhos, salgueiros, &c. as quaes são certas
							excrescencias esponjosas com os ovos do insecto no centro; o bedegar da
							rosa de  caõ (bedeguar) especie de novello resinoso e hirsurto; os follilhos
							(follicuti) como os que se vem nos ramos e  [[b]]folhas[[/b]] dos choupos, ulmeiros, &c; as
							escamaçoẽs (squammationes) como as do abeto, e salix rosea; e as
							contorsoẽs (contorsiones) como as do cerastium, veronica, lotus,
							&c.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,265
raiz,raiz,raiz,,1,"Huma linha (linea), he a largura que costuma ter a [[b]]raiz[[/b]] de
							huma unha, excepto a do dedo pollegar, e se suppoem ser a duodecima
							parte de huma pollegada: neste sentido a grandeza diz-se ser linhear ou
							de huma linha (linearis).",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,265
folhas,folha,folha,plural,1,"Branco cor de leite (albus, niveus, s. lacteus), como as açucenas,
							jasmins, e ordinariamente as flores da primavera e bagas doces;
							esbranquiçado, alvadio (albicans, incanus), como saõ as [[b]]folhas[[/b]] de algumas especies de
							verbasco.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,268
antheras,antera,anteras,plural,1,"Amarello (luteus); cor de enxofre (sulphureus, flavus); estas cores saõ
							proprias da maior parte das [[b]]antheras[[/b]], e das corollas das flores
							semiflosculosas de Tournefort, como taõbem de hum grande numero das que
							se daõ no outono.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,269
folhas,folha,folha,plural,1,A cor verde he propria da maior parte das  [[b]]folhas[[/b]] e do calyz; mas he rarissima na corolla.,BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,269
calyz,cálice,cálice,,1,A cor verde he propria da maior parte das  folhas e do [[b]]calyz[[/b]]; mas he rarissima na corolla.,BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,269
folhas,folha,folha,plural,1,"O cheiros das plantas (odores), de que faço aqui mençaõ saõ relativos
								naõ sò as flores e fructos, mas taõbem às [[b]]folhas[[/b]], ramos, troncos, 
									raízes e a quaesquer partes vegetaes.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,270
raízes,raiz,raiz,,1,"O cheiros das plantas (odores), de que faço aqui mençaõ saõ relativos
								naõ sò as flores e fructos, mas taõbem às folhas, ramos, troncos, 
									[[b]]raízes[[/b]] e a quaesquer partes vegetaes.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,270
raiz,raiz,raiz,,1,"Os cheiros saõ summamente variados naõ ao no mesmo genero, mas ainda
								no mesmo individuo, tendo ordinariamente as partes da fructificaçaõ
								cheiros differentes entre si, e differentes das outras partes, e a
									[[b]]raiz[[/b]] differindo taõbem nesta circunstancia algumas
								vezes de todo o mais corpo da planta.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,270
arvores,árvore,árvores,plural,1,"Austero ou estyptico (stypticus), he o que se observa nas galhas do
								carvalho, e na casca das [[b]]arvores[[/b]].",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,273
raiz,raiz,raiz,,1,"Doce (dulcis), he o que se acha na cana de assucar, na
									[[b]]raiz[[/b]] do alcaçûz, no colmo das gramas, nos figos,
								tamaras, &c.: ordinariamente esta misturado  com huma leve acidez, e as vezes taõbem com hum pouco de
								estypticidade, ou acrimonia, como no polypodio, avenca, feto macho,
								&c.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,273
arvores,árvore,árvores,plural,1,"Alguns Botanicos costumavaõ dividir em duas grandes classes primarias
							todos os entes do reyno vegetal, a saber, em plantas herbaceas e
							lenhosas, ou em hervas e [[b]]arvores[[/b]]; mas a doutrina da fructificaçaõ fez
							abolir esta sorte de distribuiçaõ primaria que parecia pertencer mais
							aos troncos 
								Esta divisaõ naõ me parece ter sido fundada em nota alguma
									constante; porquanto vemos hervas annuaes e biennaes que tem o
									tronco de huma consistencia lenhosa; sabemos que a mesma especie
									de planta pode ser berbacea na Europa, e lenhosa na America; que
									ha hervas que saõ mais altas do que as  arvores; e ainda mesmo a
									presença dos gomos he insufficiente, porque na Europa ha  arvores
									que naõ tem gomos, como os naõ tem taõbem as dos paizes situados
									debaxo da Zona Torrida.
							 do que às flores.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,290
arvores,árvore,árvores,plural,1,"Esta divisaõ naõ me parece ter sido fundada em nota alguma
									constante; porquanto vemos hervas annuaes e biennaes que tem o
									tronco de huma consistencia lenhosa; sabemos que a mesma especie
									de planta pode ser berbacea na Europa, e lenhosa na America; que
									ha hervas que saõ mais altas do que as  [[b]]arvores[[/b]]; e ainda mesmo a
									presença dos gomos he insufficiente, porque na Europa ha  arvores
									que naõ tem gomos, como os naõ tem taõbem as dos paizes situados
									debaxo da Zona Torrida.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,290
arvores,árvore,árvores,plural,1,"Esta divisaõ naõ me parece ter sido fundada em nota alguma
									constante; porquanto vemos hervas annuaes e biennaes que tem o
									tronco de huma consistencia lenhosa; sabemos que a mesma especie
									de planta pode ser berbacea na Europa, e lenhosa na America; que
									ha hervas que saõ mais altas do que as  [[b]]arvores[[/b]]; e ainda mesmo a
									presença dos gomos he insufficiente, porque na Europa ha  arvores
									que naõ tem gomos, como os naõ tem taõbem as dos paizes situados
									debaxo da Zona Torrida.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,290
arvores,árvore,árvores,plural,1,"Ora segundo estes principios he facil de conhecer que a divisaõ das
							plantas em [[b]]arvores[[/b]] e hervas naõ pode ter lugar, porquanto ha muitas
								arvores, que
							tem nas suas flores e fructos huma intima affinidade com a fructificaçaõ
							de algumas hervas de maneira que se achaõ misturadas com estas naõ so na
							mesma classe natural, mas ainda no mesmo genero infimo, como temos
							exemplos nas leguminosas 
								Quando as hervas, arbustos, e  arvores parecem formar huma gradaçaõ de
									menor a maior nas especies do mesmo genero infimo, pode-se sem
									duvida fundar nellas huma distribuiçaõ; mas esta distribuiçaõ he
									so parcial, e naõ a de que fallo presentemente.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,290
arvores,árvore,árvores,plural,1,"Ora segundo estes principios he facil de conhecer que a divisaõ das
							plantas em [[b]]arvores[[/b]] e hervas naõ pode ter lugar, porquanto ha muitas
								arvores, que
							tem nas suas flores e fructos huma intima affinidade com a fructificaçaõ
							de algumas hervas de maneira que se achaõ misturadas com estas naõ so na
							mesma classe natural, mas ainda no mesmo genero infimo, como temos
							exemplos nas leguminosas 
								Quando as hervas, arbustos, e  arvores parecem formar huma gradaçaõ de
									menor a maior nas especies do mesmo genero infimo, pode-se sem
									duvida fundar nellas huma distribuiçaõ; mas esta distribuiçaõ he
									so parcial, e naõ a de que fallo presentemente.
							.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,290
arvores,árvore,árvores,plural,1,"Quando as hervas, arbustos, e  [[b]]arvores[[/b]] parecem formar huma gradaçaõ de
									menor a maior nas especies do mesmo genero infimo, pode-se sem
									duvida fundar nellas huma distribuiçaõ; mas esta distribuiçaõ he
									so parcial, e naõ a de que fallo presentemente.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,290
raiz,raiz,raiz,,1,"Desgradaçamente nos naõ temos ainda hum bom tractado elementar
									que fixe a accepçaõ de todos estes termos; alguns delles saõ
									obscuros por se naõ acharem ainda definidos, e outros em
									prejuizo do progresso da Botanica tem accepçoẽs inconstantes
									segundo as differentes opinioẽ se
									caprichos dos systematicos, ou segundo as differentes partes a
									que saõ applicados; o que he defeituoso, porque nas sciencias
									vale mais usar de muitos termos ou de periphrases, do que de
									equivocos; à força de querer-mos muito abbreviar, confundimos;
									os termos imbricatus, nudus, simplex, &c. saõ disto huma
									evidente prova; hum mesmo termo devera sempre ter a mesma
									accepçaõ, quer fosse applicado à  [[b]]raiz[[/b]], quer as
										folhas, flores,
									fructos, &c.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,291
folhas,folha,folha,plural,1,"Desgradaçamente nos naõ temos ainda hum bom tractado elementar
									que fixe a accepçaõ de todos estes termos; alguns delles saõ
									obscuros por se naõ acharem ainda definidos, e outros em
									prejuizo do progresso da Botanica tem accepçoẽs inconstantes
									segundo as differentes opinioẽ se
									caprichos dos systematicos, ou segundo as differentes partes a
									que saõ applicados; o que he defeituoso, porque nas sciencias
									vale mais usar de muitos termos ou de periphrases, do que de
									equivocos; à força de querer-mos muito abbreviar, confundimos;
									os termos imbricatus, nudus, simplex, &c. saõ disto huma
									evidente prova; hum mesmo termo devera sempre ter a mesma
									accepçaõ, quer fosse applicado à  raiz, quer as
										[[b]]folhas[[/b]], flores,
									fructos, &c.",BROTERO,1788,Compendio de Botanica. Tomo primeiro,compendio1brotero,291
